attributes,category_extraction_fns,threshold,weights,n_clusters_options,true_positives,false_positives,false_negatives,precision,recall,f1,jaccard_index,fbeta
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[4, 1, 1, 1, 1]",[40],6,60,136,0.09090909090909001,0.04225352112676,0.057692307692307,0.019169329073482,0.07389162561576355
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[3, 1, 1, 1, 1]",[120],5,20,137,0.2,0.035211267605633,0.05988023952095801,0.01592356687898,0.10330578512396695
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[4, 1, 1, 1, 1]",[100],5,46,137,0.09803921568627401,0.035211267605633,0.051813471502590004,0.01592356687898,0.07225433526011561
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[4, 1, 1, 1, 1]",[120],5,39,137,0.11363636363636301,0.035211267605633,0.053763440860215006,0.01592356687898,0.07861635220125786
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[5, 1, 1, 1, 1]",[40],6,75,136,0.074074074074074,0.04225352112676,0.053811659192825004,0.019169329073482,0.06437768240343347
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[5, 1, 1, 1, 1]",[80],5,71,137,0.06578947368421001,0.035211267605633,0.045871559633027005,0.01592356687898,0.05605381165919283
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[5, 1, 1, 1, 1]",[100],5,63,137,0.07352941176470501,0.035211267605633,0.047619047619047006,0.01592356687898,0.06038647342995169
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[5, 1, 1, 1, 1]",[120],5,54,137,0.084745762711864,0.035211267605633,0.049751243781094,0.01592356687898,0.06613756613756613
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[6, 1, 1, 1, 1]",[40],6,94,136,0.06,0.04225352112676,0.049586776859504,0.019169329073482,0.055350553505535055
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[5, 1, 1, 1, 1]",[60],5,81,137,0.05813953488372001,0.035211267605633,0.043859649122807,0.01592356687898,0.051440329218107
